ophys_session_id,ophys_experiment_id,date_of_acquisition,rig_id,rig_name,screen_center_x_mm,screen_center_y_mm,screen_center_z_mm
758000279,758308766,2018-09-25 13:11:01.310000,480119305,CAM2P.1,118.6,86.2,31.6
758022586,,2018-09-25 20:11:41,,,,,
758034970,758237718,2018-09-25 13:50:01.104000,722885523,DS.1,118.6,86.2,31.6
758034970,758237729,2018-09-25 13:50:01.104000,722885523,DS.1,118.6,86.2,31.6
758034970,758237740,2018-09-25 13:50:01.104000,722885523,DS.1,118.6,86.2,31.6
758034970,758237751,2018-09-25 13:50:01.104000,722885523,DS.1,118.6,86.2,31.6
758034970,758237762,2018-09-25 13:50:01.104000,722885523,DS.1,118.6,86.2,31.6
758034970,758237773,2018-09-25 13:50:01.104000,722885523,DS.1,118.6,86.2,31.6
758111691,758312471,2018-09-25 14:53:34.534000,480119305,CAM2P.1,118.6,86.2,31.6
758131165,,,,,,,
758153424,,,,,,,
758174708,758311187,2018-09-25 16:14:31.181000,480119307,CAM2P.2,118.6,86.2,31.6
758180676,758274779,2018-09-25 22:58:50,604519819,CAM2P.6,118.6,86.2,31.6
758211190,759037655,2018-09-25 17:09:33.625000,506540632,CAM2P.3,118.6,86.2,31.6
758334816,759037830,2018-09-26 08:24:59.971000,480119307,CAM2P.2,118.6,86.2,31.6
758334831,759037053,2018-09-26 08:36:37.446000,480119305,CAM2P.1,118.6,86.2,31.6
758397682,759037388,2018-09-26 09:27:46.109000,506540632,CAM2P.3,118.6,86.2,31.6
758519303,759038671,2018-09-26 10:29:17.502000,480119307,CAM2P.2,118.6,86.2,31.6
758545583,759037671,2018-09-26 10:52:27.304000,480119305,CAM2P.1,118.6,86.2,31.6
758548901,758951004,2018-09-26 11:09:37.430000,722885523,DS.1,118.6,86.2,31.6
758548901,758951020,2018-09-26 11:09:37.430000,722885523,DS.1,118.6,86.2,31.6
758548901,758951034,2018-09-26 11:09:37.430000,722885523,DS.1,118.6,86.2,31.6
758548901,758951046,2018-09-26 11:09:37.430000,722885523,DS.1,118.6,86.2,31.6
758548901,758951060,2018-09-26 11:09:37.430000,722885523,DS.1,118.6,86.2,31.6
758548901,758951072,2018-09-26 11:09:37.430000,722885523,DS.1,118.6,86.2,31.6
758553878,,2018-09-26 17:42:48,,,,,
758659540,759039245,2018-09-26 12:34:54.919000,480119307,CAM2P.2,118.6,86.2,31.6
758708920,758973160,2018-09-26 12:54:45.067000,722885523,DS.1,118.6,86.2,31.6
758708920,758973174,2018-09-26 12:54:45.067000,722885523,DS.1,118.6,86.2,31.6
758708920,758973188,2018-09-26 12:54:45.067000,722885523,DS.1,118.6,86.2,31.6
758708920,758973205,2018-09-26 12:54:45.067000,722885523,DS.1,118.6,86.2,31.6
758708920,758973219,2018-09-26 12:54:45.067000,722885523,DS.1,118.6,86.2,31.6
758708920,758973232,2018-09-26 12:54:45.067000,722885523,DS.1,118.6,86.2,31.6
758761513,759038113,2018-09-26 13:25:39.984000,480119305,CAM2P.1,118.6,86.2,31.6
758833103,758951353,2018-09-26 14:46:25.224000,604519819,CAM2P.6,118.6,86.2,31.6
758917184,759038360,2018-09-26 15:03:21.650000,480119305,CAM2P.1,118.6,86.2,31.6
758931025,,,,,,,
759014564,759040701,2018-09-26 17:55:27.742000,480119307,CAM2P.2,118.6,86.2,31.6
759064536,759281236,2018-09-27 08:25:29.357000,480119307,CAM2P.2,118.6,86.2,31.6
759165389,759276375,2018-09-27 12:16:34.265000,523490080,CAM2P.5,118.6,86.2,31.6
759187732,,,,,,,
759189643,759281861,2018-09-27 11:26:32.037000,480119307,CAM2P.2,118.6,86.2,31.6
759205549,,,,,,,
759234490,759283774,2018-09-27 13:24:29.732000,506540632,CAM2P.3,118.6,86.2,31.6
